Player,Position,Team,Minutes Played,Goals per 90 minutes,Assists per 90 minutes,Average Goal Contribution Percent,Average Goal Contribution,Average Assists Contribution Percent,Average Assists Contribution
Georgi Dzhikiya,DF,Russia,720,0.12,0,4.96,0.07,0,0
Andrei Semyonov,DF,Russia,630,0,0,0,0,0,0
Romelu Lukaku,FW,Belgium,402,1.57,0.67,20.77,0.4,10.44,0.2
Michy Batshuayi,FW,Belgium,200,1.35,0,17.86,0.35,0,0
Nacer Chadli,MF,Belgium,201,0.9,0.45,11.9,0.23,7.01,0.14
Kevin De Bruyne,MF,Belgium,478,0.75,1.32,9.92,0.19,20.56,0.4
Timothy Castagne,MF,Belgium,270,0.67,0.33,8.86,0.17,5.14,0.1
Dries Mertens,FW,Belgium,419,0.43,0.64,5.69,0.11,9.97,0.19
Yannick Carrasco,MF,Belgium,236,0.38,1.53,5.03,0.1,23.83,0.46
Eden Hazard,MF,Belgium,485,0.37,1.3,4.89,0.1,20.25,0.39
Thomas Vermaelen,DF,Belgium,349,0.26,0,3.44,0.07,0,0
Toby Alderweireld,DF,Belgium,720,0.25,0,3.31,0.06,0,0
Thomas Meunier,MF,Belgium,359,0.25,0,3.31,0.06,0,0
Thorgan Hazard,MF,Belgium,449,0.2,0,2.65,0.05,0,0
Youri Tielemans,MF,Belgium,495,0.18,0.18,2.38,0.05,2.8,0.05
Thibaut Courtois,GK,Belgium,630,0,0,0,0,0,0
Jason Denayer,DF,Belgium,204,0,0,0,0,0,0
Jan Vertonghen,DF,Belgium,540,0,0,0,0,0,0
Axel Witsel,MF,Belgium,360,0,0,0,0,0,0
Marko Arnautovi?,FW,Austria,528,0.68,0.34,24.82,0.28,17.99,0.2
Michael Gregoritsch,FW,Austria,206,0.44,0.44,16.06,0.18,23.28,0.26
Valentino Lazaro,MF,Austria,579,0.31,0.16,11.31,0.13,8.47,0.09
Marcel Sabitzer,MF,Austria,608,0.3,0.15,10.95,0.12,7.94,0.09
David Alaba,MF,Austria,358,0.25,0,9.12,0.1,0,0
Stefan Posch,DF,Austria,377,0.24,0,8.76,0.1,0,0
Stefan Lainer,DF,Austria,450,0.2,0.2,7.3,0.08,10.58,0.12
Martin Hinteregger,DF,Austria,540,0.17,0,6.2,0.07,0,0
Konrad Laimer,MF,Austria,586,0.15,0.46,5.47,0.06,24.34,0.27
Andreas Ulmer,DF,Austria,630,0,0,0,0,0,0
Aleksandar Dragovi?,DF,Austria,665,0,0.14,0,0,7.41,0.08
Xaver Schlager,MF,Austria,180,0,0,0,0,0,0
Stefan Ilsanker,MF,Austria,386,0,0,0,0,0,0
Julian Baumgartlinger,MF,Austria,479,0,0,0,0,0,0
Goran Pandev,FW,NorthMacedonia,671,0.27,0.13,24.77,0.16,15.48,0.1
Elif Elmas,MF,NorthMacedonia,771,0.23,0.12,21.1,0.14,14.29,0.09
Arijan Ademi,MF,NorthMacedonia,507,0.18,0.18,16.51,0.11,21.43,0.14
Enis Bardhi,MF,NorthMacedonia,622,0.14,0.29,12.84,0.08,34.52,0.22
Boban Nikolov,MF,NorthMacedonia,657,0.14,0,12.84,0.08,0,0
Darko Velkovski,DF,NorthMacedonia,701,0.13,0,11.93,0.08,0,0
Stole Dimitrievski,GK,NorthMacedonia,900,0,0,0,0,0,0
Visar Musliu,DF,NorthMacedonia,714,0,0,0,0,0,0
Kire Ristevski,DF,NorthMacedonia,526,0,0,0,0,0,0
Egzon Bejtulai,DF,NorthMacedonia,590,0,0,0,0,0,0
Stefan Ristovski,DF,NorthMacedonia,682,0,0,0,0,0,0
Ezgjan Alioski,MF,NorthMacedonia,720,0,0.12,0,0,14.29,0.09
Tihomir Kostadinov,MF,NorthMacedonia,190,0,0,0,0,0,0
Stefan Spirovski,MF,NorthMacedonia,313,0,0,0,0,0,0
Stefan Ristovski,DF,NorthMacedonia,682,0,0,0,0,0,0
Georginio Wijnaldum,MF,Netherlands,450,1.4,0.2,48.78,0.96,7.75,0.15
Memphis Depay,FW,Netherlands,315,0.86,0.86,29.97,0.59,33.33,0.66
Donyell Malen,FW,Netherlands,210,0.43,0.43,14.98,0.29,16.67,0.33
Frenkie de Jong,MF,Netherlands,504,0.18,0.18,6.27,0.12,6.98,0.14
Jasper Cillessen,GK,Netherlands,540,0,0,0,0,0,0
Jasper Cillessen,GK,Netherlands,540,0,0,0,0,0,0
Joël Veltman,DF,Netherlands,270,0,0,0,0,0,0
Daley Blind,DF,Netherlands,450,0,0.2,0,0,7.75,0.15
Matthijs de Ligt,DF,Netherlands,540,0,0.17,0,0,6.59,0.13
Donny van de Beek,MF,Netherlands,181,0,0,0,0,0,0
Marten de Roon,MF,Netherlands,181,0,0,0,0,0,0
Quincy Promes,FW,Netherlands,335,0,0.54,0,0,20.93,0.41
Roman Yaremchuk,FW,Ukraine,382,0.94,0.24,27.89,0.33,11.76,0.14
Yevhen Konoplyanka,MF,Ukraine,214,0.84,0,24.93,0.29,0,0
Viktor Tsyhankov,MF,Ukraine,310,0.58,0.29,17.21,0.2,14.22,0.17
Ruslan Malinovskyi,MF,Ukraine,526,0.51,0.51,15.13,0.18,25,0.29
Andriy Yarmolenko,FW,Ukraine,303,0.3,0.3,8.9,0.1,14.71,0.17
Oleksandr Zinchenko,MF,Ukraine,450,0.2,0,5.93,0.07,0,0
Oleksandr Karavayev,DF,Ukraine,360,0,0.5,0,0,24.51,0.29
