Player,Position,Age,Matches Played,Starts,Minutes Played,No of 90 minutes played,Goals,Assists,Non-Penalty Goals,Penalty Goals,Penalty Kicks Attempted,Yellow Card,Red Card,Goals per 90 minutes,Assists per 90 minutes,G+A per 90 minutes,Non-Penalty Goals per 90 minutes,Non-Penalty G+A per 90 minutes,Team,,,,,,
Harry Kane,FW,27,6,6,492,5.5,10,5,7,3,4,0,0,1.83,0.91,2.74,1.28,2.2,England,,,,,,
Craig Gordon,GK,38,0,0,,,,,,,,,,,,,,,Scotland,,,,,,
Jon McLaughlin,GK,33,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Scotland,,,,,,
David Marshall,GK,35,9,9,870,9.7,0,0,0,0,0,0,0,0,0,0,0,0,Scotland,,,,,,
Kieran Tierney,DF,23,1,1,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Scotland,,,,,,
Greg Taylor,DF,23,3,3,270,3,0,2,0,0,0,1,0,0,0.67,0.67,0,0.67,Scotland,,,,,,
Liam Palmer,DF,29,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,Scotland,,,,,,
Scott McKenna,DF,24,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,Scotland,,,,,,
Declan Gallagher,DF,29,4,4,420,4.7,0,0,0,0,0,2,0,0,0,0,0,0,Scotland,,,,,,
Stephen O'Donnell,"DF,MF",28,6,6,588,6.5,0,0,0,0,0,1,0,0,0,0,0,0,Scotland,,,,,,
Andrew Robertson,"DF,MF",26,7,7,690,7.7,1,0,1,0,0,0,0,0.13,0,0.13,0.13,0.13,Scotland,,,,,,
Kieran Tierney,DF,23,1,1,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Scotland,,,,,,
Scott McTominay,"MF,DF",24,7,6,599,6.7,0,0,0,0,0,3,0,0,0,0,0,0,Scotland,,,,,,
John Fleck,MF,29,2,1,89,1,0,0,0,0,0,1,0,0,0,0,0,0,Scotland,,,,,,
Stuart Armstrong,MF,28,6,1,89,1,1,0,1,0,0,0,0,1.01,0,1.01,1.01,1.01,Scotland,,,,,,
John McGinn,MF,26,9,8,684,7.6,7,2,7,0,0,2,0,0.92,0.26,1.18,0.92,1.18,Scotland,,,,,,
Callum McGregor,MF,27,10,10,912,10.1,0,1,0,0,0,1,0,0,0.1,0.1,0,0.1,Scotland,,,,,,
James Forrest,"MF,FW",29,6,5,426,4.7,0,0,0,0,0,0,0,0,0,0,0,0,Scotland,,,,,,
Ryan Fraser,"MF,FW",26,5,3,343,3.8,0,0,0,0,0,1,0,0,0,0,0,0,Scotland,,,,,,
Ryan Christie,"MF,FW",25,7,5,484,5.4,2,2,2,0,0,0,0,0.37,0.37,0.74,0.37,0.74,Scotland,,,,,,
Simon Sluga,GK,27,0,0,,,,,,,,,,,,,,,Croatia,,,,,,
Lovre Kalini?,GK,30,0,0,,,,,,,,,,,,,,,Croatia,,,,,,
Dominik Livakovi?,GK,26,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,Croatia,,,,,,
Duje ?aleta-Car,DF,24,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,Croatia,,,,,,
Mile Škori?,MF,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Croatia,,,,,,
Domagoj Vida,DF,31,5,5,450,5,0,0,0,0,0,3,0,0,0,0,0,0,Croatia,,,,,,
Dejan Lovren,DF,31,5,5,450,5,1,0,1,0,0,2,0,0.2,0,0.2,0.2,0.2,Croatia,,,,,,
Borna Bariši?,DF,28,6,6,540,6,0,1,0,0,0,1,0,0,0.17,0.17,0,0.17,Croatia,,,,,,
Josip Juranovi?,"DF,MF",25,0,0,,,,,,,,,,,,,,,Croatia,,,,,,
Milan Badelj,MF,31,3,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Croatia,,,,,,
Mario Pašali?,MF,25,2,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Croatia,,,,,,
Mateo Kova?i?,MF,26,4,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,Croatia,,,,,,
Nikola Vlaši?,MF,23,5,4,352,3.9,3,0,3,0,0,0,0,0.77,0,0.77,0.77,0.77,Croatia,,,,,,
Marcelo Brozovi?,MF,28,5,5,450,5,0,2,0,0,0,3,0,0,0.4,0.4,0,0.4,Croatia,,,,,,
Luka Modri?,MF,35,6,6,515,5.7,2,1,1,1,1,1,0,0.35,0.17,0.52,0.17,0.35,Croatia,,,,,,
Ante Rebi?,"MF,FW",27,5,4,324,3.6,0,1,0,0,0,1,0,0,0.28,0.28,0,0.28,Croatia,,,,,,
Ivan Periši?,"MF,FW",31,6,6,500,5.6,3,1,3,0,1,0,0,0.54,0.18,0.72,0.54,0.72,Croatia,,,,,,
Mislav Orši?,"FW,MF",28,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Croatia,,,,,,
Andrej Kramari?,FW,29,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Croatia,,,,,,
Bruno Petkovi?,FW,26,5,5,415,4.6,4,1,4,0,0,1,0,0.87,0.22,1.08,0.87,1.08,Croatia,,,,,,
Karl-Johan Johnsson,GK,31,0,0,,,,,,,,,,,,,,,Sweden,,,,,,
Kristoffer Nordfeldt,GK,31,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Sweden,,,,,,
Robin Olsen,GK,31,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,Sweden,,,,,,
Emil Krafth,DF,26,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Sweden,,,,,,
Marcus Danielsson,DF,31,2,2,180,2,1,1,1,0,0,0,0,0.5,0.5,1,0.5,1,Sweden,,,,,,
Ludwig Augustinsson,DF,26,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Sweden,,,,,,
Pontus Jansson,DF,29,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,Sweden,,,,,,
Filip Helander,DF,27,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,Sweden,,,,,,
Victor Lindelöf,DF,26,4,4,360,4,1,0,1,0,0,2,0,0.25,0,0.25,0.25,0.25,Sweden,,,,,,
Andreas Granqvist,DF,35,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,Sweden,,,,,,
Mikael Lustig,DF,34,7,7,585,6.5,0,1,0,0,0,0,0,0,0.15,0.15,0,0.15,Sweden,,,,,,
