Player,Pos,Age,90s,Goals,Shots,Shots on target,Shots on target %,Shots per 90 minutes,Shots on target per 90 minutes,Goal per shot,Goals per shot on target,PK,PKatt,Team
Donyell Malen,FW,22,2.3,1,7,3,42.9,3,1.29,0.14,0.33,0,0,Netherlands
Ryan Babel,FW,34,3.5,2,9,5,55.6,2.54,1.41,0.22,0.4,0,0,Netherlands
Alexander Schlager,GK,24,1,0,0,0,,0,0,,,0,0,Austria
Pavao Pervan,GK,33,1,0,0,0,,0,0,,,0,0,Austria
Heinz Lindner,GK,30,2,0,0,0,,0,0,,,0,0,Austria
Cican Stankovic,GK,28,4,0,0,0,,0,0,,,0,0,Austria
Maximilian Wöber,DF,22,1,0,2,0,0,2,0,0,,0,0,Austria
Christopher Trimmel,DF,33,1.5,0,3,0,0,2.03,0,0,,0,0,Austria
Stefan Posch,DF,23,4.2,1,3,1,33.3,0.72,0.24,0.33,1,0,0,Austria
Stefan Lainer,DF,28,5,1,7,3,42.9,1.4,0.6,0.14,0.33,0,0,Austria
Martin Hinteregger,DF,28,6,1,5,3,60,0.83,0.5,0.2,0.33,0,0,Austria
Andreas Ulmer,DF,35,7,0,4,1,25,0.57,0.14,0,0,0,0,Austria
Aleksandar Dragović,DF,29,7.4,0,4,1,25,0.54,0.14,0,0,0,0,Austria
Reinhold Ranftl,MF,29,0.2,0,0,0,,0,0,,,0,0,Austria
Thomas Goiginger,MF,27,0.8,0,0,0,,0,0,,,0,0,Austria
Florian Grillitsch,MF,25,1.1,0,4,1,25,3.6,0.9,0,0,0,0,Austria
Louis Schaub,MF,26,1.4,0,1,1,100,0.73,0.73,0,0,0,0,Austria
Xaver Schlager,MF,23,2,0,3,2,66.7,1.5,1,0,0,0,0,Austria
David Alaba,MF,28,4,1,13,4,30.8,3.27,1.01,0.08,0.25,0,0,Austria
Stefan Ilsanker,MF,31,4.3,0,8,0,0,1.87,0,0,,0,0,Austria
Julian Baumgartlinger,MF,33,5.3,0,3,1,33.3,0.56,0.19,0,0,0,0,Austria
